Time,Pseudoproxy,Bioturbated Carrier 1,Bioturbated Carrier 2
1979-07-02,-128.15007625871877,-129.7724242305965,-125.54254658209793
1980-07-01,-130.2603524267375,-130.76725438352295,-130.34877692602268
1981-07-01,-120.8906136999956,-130.42418719210565,-128.97764945086936
1982-07-01,-134.78053938376533,-128.22537383271649,-129.18867706767125
1983-07-01,-130.9251296214489,-129.40101465797147,-127.85588641866828
1984-06-30,-127.15904532525082,-131.01016146769732,-127.93177132290107
1985-06-30,-129.81265036153138,-132.94249282114706,-131.06480754572166
1986-06-30,-126.87237727220284,-135.35388027583713,-136.2625099391891
1987-06-30,-135.19343456817398,-141.09016164478552,-139.40235978114592
1988-06-29,-147.39023223538416,-132.2430813816548,-137.65656315699738
1989-06-29,-144.86728858840988,-139.36251809371478,-138.70251145158153
1990-06-29,-140.55267862433118,-137.37937589637664,-134.03406855903367
1991-06-29,-130.31236590724467,-136.45922816074614,-136.70910950192342
1992-06-28,-140.65280745468735,-134.12667940420027,-135.6134776420177
1993-06-28,-133.35140435273937,-138.1592175298365,-133.91932475151913
1994-06-28,-137.73427334136014,-131.7300455700281,-133.26318357376266
1995-06-28,-134.6538446703563,-131.5623079532742,-134.6223625266275
1996-06-27,-130.94092554604524,-134.78111788369512,-133.3119497630826
1997-06-27,-127.54072243362023,-130.66679269800176,-129.29883518444595
1998-06-27,-133.937123933026,-134.58888377343789,-130.8544309357555
1999-06-27,-133.80745147028975,-130.57047682807735,-131.97879486947895
2000-06-26,-123.92551816223157,-130.82373203836158,-132.25971614879663
2001-06-26,-133.75375625636804,-130.08434010394993,-132.02820509861422
2002-06-26,-132.55036035920642,-131.16922150908587,-131.5539639005201
2003-06-26,-134.53848992506425,-129.5173553340922,-129.798314789689
2004-06-25,-126.32840553683108,-128.84756299294912,-128.28377661165297
2005-06-25,-132.8502044392199,-130.32580710318535,-130.61898269678278
2006-06-25,-120.18746847883963,-131.6973426923239,-129.80294340611027
2007-06-25,-129.202583890595,-130.19343796022162,-126.5957200338233
2008-06-24,-130.53692270483117,-129.75368115353757,-129.28682310176634
2009-06-24,-132.64323090515157,-128.98819407405557,-129.63686743691295
2010-06-24,-125.94952374250919,-127.78884760810406,-129.09830937908208
2011-06-24,-129.92099348873302,-128.00416602129397,-126.8344068571898
2012-06-23,-129.84088832988292,-128.19542731834088,-128.8054915004397
2013-06-23,-126.3228533670701,-129.6289068129318,-130.6021719326024
2014-06-23,-128.0018220472315,-131.2256481418048,-130.9539487044588
2015-06-23,-129.81086102544393,-130.62748462844877,-132.37797429827586
2016-06-22,-133.87313596100245,-131.07448668480893,-132.26365308394074
2017-06-22,-132.72194676925534,-130.97274343292628,-132.38626416125265
2018-06-22,-131.1097714723965,-131.3920033732137,-124.73411261323841
2019-06-22,-134.58275380917925,-124.05471355872632,-129.3886591752342
2020-06-21,-131.4497798445085,-127.60978846480882,-125.44399074355529
2021-06-21,-110.18374326216238,-124.9455140592114,-132.0638139067922
2022-06-21,-127.95735587653685,-132.27888854286306,-127.67711635534451
2023-06-21,-133.1662114982072,-125.04240747631768,-130.08585439164722
2024-06-20,-130.63072838780676,-130.46361043654198,-131.50737634467697
2025-06-20,-135.35376566740868,-125.97197191985424,-127.23274450693661
2026-06-20,-126.04478503013073,-129.14736435355738,-127.07941460030304
2027-06-20,-122.76979643599,-126.79410683974584,-127.7571960178622
2028-06-19,-129.2969801505729,-126.17438950644933,-126.83811088892612
2029-06-19,-126.21201150231377,-127.28515829406767,-127.99479534120512
2030-06-19,-127.8035720662823,-132.7098013319117,-136.26430973410447
2031-06-19,-123.4154601326259,-130.79266062173647,-129.842486538507
2032-06-18,-138.70360067835043,-129.75390712232962,-128.08229179154418
2033-06-18,-137.02674892169085,-130.25927650506554,-131.3299190695273
2034-06-18,-129.5722518466323,-131.39198706011047,-129.20391632444102
2035-06-18,-129.981123224596,-129.9681288875288,-131.235588172982
2036-06-17,-128.74257714186237,-131.5116847133674,-130.14127573553216
2037-06-17,-132.85503943301984,-133.41708929771966,-130.5188759384116
